/* DATA DESCRIPTION:
Citation:	Bessler, Holger; Engels, Christof (2017): Belowground biomass productivity from the Jena Experiment (Main Experiment, year 2007). PANGAEA, https://doi.org/10.1594/PANGAEA.880329, 
	In: Bessler, Holger; Engels, Christof; Ravenek, Janneke; Mommer, Liesje; de Kroon, Hans; Oram, Natalie; Chen, Hongmei; Weigelt, Alexandra; Luo, Guangjuan; Meyer, Sebastian Tobias (2017): Collection of data on belowground plant biomass and morphological root parameters in the Jena Experiment. PANGAEA, https://doi.org/10.1594/PANGAEA.880330
Abstract:	This data set contains measurements of belowground biomass productivity, i.e. coarse and fine root biomass production (N-concentration of the fine roots are attached to this dataset as well). Data presented here is from the Main Experiment plots of a large grassland biodiversity experiment (the Jena Experiment; see further details below). In the Main experiment, 82 grassland plots of 20 x 20 m were established from a pool of 60 species belonging to four functional groups (grasses, legumes, tall and small herbs). In May 2002, varying numbers of plant species from this species pool were sown into the plots to create a gradient of plant species richness (1, 2, 4, 8, 16 and 60 species) and functional richness (1, 2, 3, 4 functional groups). Plots were maintained in general by bi-annual weeding and mowing. Since 2010, plots were weeded three times per year. 
	In July 2007, five soil cores with a 4.8 cm diameter per plot were removed to 30 cm depth. The removed soil was replaced by root-free soil from the field site. The ingrowth cores were removed in June 2008 and cut with scissors until root fragments were < 1 cm in length. For root washing, a 210 g subsample of the bulk material was taken and soaked in water. The soil was removed from the roots by rinsing over a sieve with 0.5 mm mesh width. Then, organic debris and remaining soil particles were removed by hand. The remaining roots were dried at 70 °C and weighed. 
	In 2008, ingrowth cores were separated in depth increments of 0-5, 5-10, 10-20 and 20-30 cm depth. Roots were seperated in coarse (diameter > 2 mm) and fine roots before cutting the bulk material. Fine roots were grinded in a ball mill and 20 mg of the grinded material was used to determine N-concentration of the fine roots with VarioMax CNS (Elementar).
Related to:	Bessler, Holger; Temperton, Vicky; Roscher, Christiane; Buchmann, Nina; Schmid, Bernhard; Schulze, Ernst-Detlef; Weisser, Wolfgang; Engels, Christof (2009): Aboveground overyielding in grassland mixtures is associated with reduced biomass partitioning to belowground organs. Ecology, 90(6), 1520-1530, https://doi.org/10.1890/08-0867.1
	Roscher, Christiane; Bessler, Holger; Oelmann, Yvonne; Engels, Christof; Wilcke, Wolfgang; Schulze, Ernst-Detlef (2009): Resources, recruitment limitation and invader species identity determine pattern of spontaneous invasion in experimental grasslands. Journal of Ecology, 97(1), 32-47, https://doi.org/10.1111/j.1365-2745.2008.01451.x
	Scherber, Christoph; Mwangi, Peter N; Schmitz, Martin; Scherer-Lorenzen, Michael; Bessler, Holger; Engels, Christof; Eisenhauer, Nico; Migunova, Varvara D; Scheu, Stefan; Weisser, Wolfgang; Schulze, Ernst-Detlef; Schmid, Bernhard (2010): Biodiversity and belowground interactions mediate community invasion resistance against a tall herb invader. Journal of Plant Ecology-Uk, 3(2), 99-108, https://doi.org/10.1093/jpe/rtq003
	Steinbeiss, Sibylle; Bessler, Holger; Engels, Christof; Temperton, Vicky; Buchmann, Nina; Roscher, Christiane; Kreutziger, Yvonne; Baade, Jussi; Habekost, Maike; Gleixner, Gerd (2008): Plant diversity positively affects short-term soil carbon storage in experimental grasslands. Global Change Biology, 14, 2937-2949, https://doi.org/10.1111/j.1365-2486.2008.01697.x
Further details:	Plot information of the Jena Main Experiment (URI: http://store.pangaea.de/Publications/Jena_Experiment/PlotInformationMainExperiment.txt)
	Treatment description (URI: http://store.pangaea.de/Publications/Jena_Experiment/TreatmentDefinitionsJuly2012.pdf)
Project(s):	The Jena Experiment (JenExp) (URI: http://www.the-jena-experiment.de/)
Coverage:	LATITUDE: 50.946100 * LONGITUDE: 11.611300
	DATE/TIME START: 2007-01-01T00:00:00 * DATE/TIME END: 2007-12-31T00:00:00
	MINIMUM DEPTH, soil: 0.025 m * MAXIMUM DEPTH, soil: 0.250 m
Event(s):	JenExp_2007 (Jena Experiment 2007) * LATITUDE: 50.946100 * LONGITUDE: 11.611300 * DATE/TIME START: 2007-01-01T00:00:00 * DATE/TIME END: 2007-12-31T00:00:00 * LOCATION: Thuringia, Germany * DEVICE: Experiment (EXP)
Comment:	The Main experiment on the field site of the Jena Experiment comprises a split-plot design in which additional treatments (e.g. no weeding allowing for invasion of other species, or application of fertilizer) have been applied to subplots along the outer margin of the plots (see Treatment description in the section "further details"). While in this dataset only data from the core area (mown and weeding of all none-sown species twice a year, no additional treatments) is reported, all potential treatments are listed as the first parameters in the data file to guarantee compatibility with other datasets that include different treatments. 
	There are two types of missing values contained in the dataset. Empty cells represent missing values that result from the design of the experiment when the respective value does not occur and could thus not be measured. For example, in the columns of species-specific biomass cells are left blank, when the species was not sown into the respective plot. Missing values that resulted from methodological problems, sampling errors, or lost samples/data are marked with "-9999".
	This dataset is part of a collection of measurements of belowground plant biomass and morphological root parameters in the Jena Experiment. Similar data from other experiments (e.g. Main Experiment, Dominance Experiment; see details above), other years, or other methods quantifying related data might be available (https://doi.pangaea.de/10.1594/PANGAEA.880330).
Parameter(s):	Experimental plot (Experimental plot) * COMMENT: Detailed explanations of plots and the plant diversity gradient are provided in the section further details.
	Depth, soil, minimum [m] (Depth soil min)
	Depth, soil, maximum [m] (Depth soil max)
	DEPTH, soil [m] (Depth soil) * GEOCODE
	Date/time start (Date/time start) * COMMENT: of sampling campaign
	Date/time end (Date/time end) * COMMENT: of sampling campaign
	Treatment: mowing (Treat mow) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: weeding (Treat weed) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: weeding history (Treat weed hist) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: seed addition (Treat seed add) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: fertilizing (Treat fert) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: drought (Treat drought) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: above ground: pesticide (Treat above ground pest) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: below pesticide (Treat below pest) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: molluscide (Treat mollus) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: nematicide (Treat nema) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: eartworm exclosure (Treat eartworm excl) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: phytometers (Treat phyto) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Treatment: special (Treat special) * COMMENT: Detailed explanations of treatments are provided in the section further details.
	Root biomass production, fine roots [g/m**2] (Root biom prod fine) * COMMENT: Measured on plot level
	Root biomass production, coarse roots [g/m**2] (Root biom prod coarse) * COMMENT: Measured on plot level
	Nitrogen, root, fine [%] (N root fine)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	8282 data points
*/
Experimental plot	Depth soil min [m]	Depth soil max [m]	Depth soil [m]	Date/time start	Date/time end	Treat mow	Treat weed	Treat weed hist	Treat seed add	Treat fert	Treat drought	Treat above ground pest	Treat below pest	Treat mollus	Treat nema	Treat eartworm excl	Treat phyto	Treat special	Root biom prod fine [g/m**2]	Root biom prod coarse [g/m**2]	N root fine [%]
B1A07	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	99.12	0.00	
B1A07	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	77.31	0.00	
B1A08	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	39.06	0.00	
B1A08	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	176.80	0.00	1.53
B1A08	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	45.36	0.00	
B1A08	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	62.45	0.00	
B1A08	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	29.93	0.00	
B1A09	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	42.07	0.00	
B1A09	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	154.75	0.00	1.01
B1A09	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	45.14	0.00	
B1A09	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	33.37	0.00	
B1A09	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	34.17	0.00	
B1A11	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	88.36	8.08	
B1A11	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	356.16	8.08	1.19
B1A11	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	124.80	0.00	
B1A11	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	86.88	0.00	
B1A11	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	56.12	0.00	
B1A12	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	42.12	0.00	
B1A12	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	224.39	0.00	1.42
B1A12	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	77.79	0.00	
B1A12	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	74.18	0.00	
B1A12	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	30.30	0.00	
B1A13	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	62.40	16.46	
B1A13	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	369.32	25.30	1.19
B1A13	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	135.99	8.84	
B1A13	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	86.37	0.00	
B1A13	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	84.56	0.00	
B1A14	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	86.59	0.00	
B1A14	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	661.93	0.00	0.89
B1A14	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	222.76	0.00	
B1A14	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	184.36	0.00	
B1A14	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	168.22	0.00	
B1A15	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	35.85	0.00	
B1A15	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	145.78	0.00	1.06
B1A15	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	33.31	0.00	
B1A15	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	66.21	0.00	
B1A15	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	10.41	0.00	
B1A16	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	74.51	0.00	
B1A16	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	350.55	0.00	0.96
B1A16	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	99.64	0.00	
B1A16	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	96.84	0.00	
B1A16	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	79.56	0.00	
B1A17	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	184.78	58.72	
B1A17	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	557.58	58.72	0.83
B1A17	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	118.15	0.00	
B1A17	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	185.22	0.00	
B1A17	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	69.43	0.00	
B1A18	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	48.05	0.00	
B1A18	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	331.64	0.00	-9999.00
B1A18	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	119.61	0.00	
B1A18	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	120.67	0.00	
B1A18	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	43.31	0.00	
B1A19	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	89.04	55.20	
B1A19	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	456.60	82.27	0.88
B1A19	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	133.99	27.07	
B1A19	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	137.53	0.00	
B1A19	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	96.04	0.00	
B1A20	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	42.62	0.00	
B1A20	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	187.47	0.00	1.23
B1A20	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	71.88	0.00	
B1A20	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	39.85	0.00	
B1A20	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	33.12	0.00	
B1A21	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	94.21	0.00	
B1A21	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	380.63	0.00	0.98
B1A21	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	119.96	0.00	
B1A21	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	102.64	0.00	
B1A21	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	63.82	0.00	
B1A22	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	41.81	0.00	
B1A22	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	207.89	0.00	1.12
B1A22	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	67.89	0.00	
B1A22	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	52.16	0.00	
B1A22	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	46.03	0.00	
B2A01	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	65.92	0.00	
B2A01	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	255.63	0.00	1.33
B2A01	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	67.47	0.00	
B2A01	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	75.94	0.00	
B2A01	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	46.30	0.00	
B2A02	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	210.81	0.00	
B2A02	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	710.83	0.00	0.67
B2A02	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	208.57	0.00	
B2A02	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	184.45	0.00	
B2A02	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	107.00	0.00	
B2A03	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	62.38	0.00	
B2A03	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	349.80	0.00	0.89
B2A03	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	123.34	0.00	
B2A03	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	133.22	0.00	
B2A03	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	30.86	0.00	
B2A04	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	34.68	0.00	
B2A04	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	183.50	12.04	0.96
B2A04	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	72.88	5.77	
B2A04	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	39.84	6.27	
B2A04	0.20	0.30	0.250	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	36.10	0.00	
B2A05	0.00	0.05	0.025	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	123.96	0.00	
B2A05	0.00	0.30	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	447.97	0.00	0.77
B2A05	0.05	0.10	0.075	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	110.02	0.00	
B2A05	0.10	0.20	0.150	2003-06-30	2004-05-31	mown2	weededALL	AAAAA.AA	seed0	fert0	roof0	agspray0	bgspray0	molgrain0	nemgrain0	ewex0	phyto0	special0	113.98	0.00	
